date,PM10,PM2.5,OZONE,NO2,CO,SO2
2020-04-16,56,34,0.052000000000000005,0.027999999999999997,0.5,0.003
2020-04-17,40,24,0.051,0.013000000000000001,0.4,0.002
2020-04-18,34,21,0.051,0.01,0.4,0.002
2020-04-19,23,23,0.038,0.013000000000000001,0.4,0.002
2020-04-20,16,13,0.046,0.011000000000000001,0.4,0.002
2020-04-21,36,12,0.045,0.008,0.3,0.002
2020-04-22,90,15,0.042,0.006,0.3,0.002
2020-04-23,42,14,0.038,0.01,0.3,0.002
2020-04-24,44,17,0.049,0.015,0.4,0.003
2020-04-25,60,27,0.07,0.011000000000000001,0.5,0.003
2020-04-26,32,18,0.049,0.011000000000000001,0.4,0.003
2020-04-27,35,21,0.044000000000000004,0.02,0.4,0.003
2020-04-28,37,23,0.047,0.023,0.5,0.003
2020-04-29,44,28,0.062,0.02,0.5,0.004
2020-04-30,34,19,0.053,0.02,0.4,0.003
2020-05-01,44,28,0.063,0.006999999999999999,0.4,0.003
2020-05-02,47,29,0.048,0.01,0.4,0.003
2020-05-03,24,19,0.036000000000000004,0.011000000000000001,0.4,0.003
2020-05-04,41,23,0.042,0.013999999999999999,0.5,0.003
2020-05-05,38,26,0.02,0.023,0.6,0.003
2020-05-06,43,24,0.037000000000000005,0.023,0.5,0.003
2020-05-07,26,10,0.05,0.013999999999999999,0.4,0.003
2020-05-08,27,15,0.051,0.022000000000000002,0.5,0.002
2020-05-09,13,11,0.044000000000000004,0.009000000000000001,0.4,0.002
2020-05-10,31,31,0.061,0.006999999999999999,0.6,0.002
2020-05-11,109,38,0.057999999999999996,0.012,0.6,0.003
2020-05-12,51,24,0.05,0.012,0.5,0.003
2020-05-13,34,13,0.04,0.017,0.4,0.003
2020-05-14,50,15,0.040999999999999995,0.027999999999999997,0.5,0.003
2020-05-15,30,15,0.04,0.016,0.4,0.002
2020-05-16,27,22,0.044000000000000004,0.012,0.5,0.002
2020-05-17,45,38,0.052000000000000005,0.01,0.5,0.003
2020-05-18,56,43,0.048,0.015,0.7,0.003
2020-05-19,13,9,0.036000000000000004,0.011000000000000001,0.4,0.002
2020-05-20,10,6,0.027999999999999997,0.015,0.4,0.003
